name,size_numeric,type,sub_race,ethics,morale,armor_class,hit_points,hit_dice_count,strength,dexterity,constitution,intelligence,wisdom,charisma,strength_save,dexterity_save,constitution_save,intelligence_save,wisdom_save,charisma_save,perception,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,passive_perception,sense_darkvision_m,sense_blindsight_m,sense_tremorsense_m,sense_truesight_m,lang_telepathy_m,languages_count,cr,actions_count,reactions_count,legendary_actions_count,special_abilities_count,spell_list_count,speed.walk,speed.swim,skills.history,skills.perception,skills.medicine,skills.religion,speed.fly,skills.stealth,speed.burrow,skills.persuasion,skills.insight,speed.climb,skills.deception,skills.arcana,speed.hover,skills.athletics,skills.acrobatics,skills.survival,skills.investigation,skills.nature,skills.intimidation,skills.performance,speed.lightwalking
Aboleth,4,Aberration,Aberration,1,-1,17,135,18,21,9,15,18,15,18,5.0,-1.0,6.0,8.0,6.0,4.0,10.0,0,0,0,0,20,36.0,0.0,0.0,0.0,36.0,2,10.0,4,0,3,3,0,10.0,40.0,12.0,10.0,,,,,,,,,,,,,,,,,,,
Acolyte,3,Humanoid,Humanoid,0,0,10,9,2,10,10,10,10,14,11,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,1,0.25,1,0,0,1,6,30.0,,,,4.0,2.0,,,,,,,,,,,,,,,,,
Adult Black Dragon,5,Dragon,Black Dragon,-1,-1,19,195,17,23,14,21,14,13,17,6.0,7.0,10.0,2.0,6.0,8.0,11.0,0,0,1,0,21,36.0,18.0,0.0,0.0,0.0,2,14.0,6,0,3,2,0,40.0,40.0,,11.0,,,80.0,7.0,,,,,,,,,,,,,,,
Adult Blue Dragon,5,Dragon,Blue Dragon,1,-1,19,225,18,25,10,23,16,15,19,7.0,5.0,11.0,3.0,7.0,9.0,12.0,0,0,1,0,22,36.0,18.0,0.0,0.0,0.0,2,16.0,6,0,3,1,0,40.0,,,12.0,,,80.0,5.0,30.0,,,,,,,,,,,,,,
Adult Brass Dragon,5,Dragon,Brass Dragon,-1,1,18,172,15,23,10,21,14,13,17,6.0,5.0,10.0,2.0,6.0,8.0,11.0,0,0,1,0,21,36.0,18.0,0.0,0.0,0.0,2,13.0,6,0,3,1,0,40.0,,7.0,11.0,,,80.0,5.0,40.0,8.0,,,,,,,,,,,,,
Adult Bronze Dragon,5,Dragon,Bronze Dragon,1,1,19,212,17,25,10,23,16,15,19,7.0,5.0,11.0,3.0,7.0,9.0,12.0,0,0,1,0,22,36.0,18.0,0.0,0.0,0.0,2,15.0,7,0,3,2,0,40.0,40.0,,12.0,,,80.0,5.0,,,7.0,,,,,,,,,,,,
Adult Copper Dragon,5,Dragon,Copper Dragon,-1,1,18,184,16,23,12,21,18,15,17,6.0,6.0,10.0,4.0,7.0,8.0,12.0,0,0,1,0,22,36.0,18.0,0.0,0.0,0.0,2,14.0,6,0,3,1,0,40.0,,,12.0,,,80.0,6.0,,,,40.0,8.0,,,,,,,,,,
Adult Gold Dragon,5,Dragon,Gold Dragon,1,1,19,256,19,27,14,25,16,15,24,8.0,8.0,13.0,3.0,8.0,13.0,14.0,0,0,1,0,24,36.0,18.0,0.0,0.0,0.0,2,17.0,7,0,3,2,0,40.0,40.0,,14.0,,,80.0,8.0,,13.0,8.0,,,,,,,,,,,,
Adult Green Dragon,5,Dragon,Green Dragon,1,-1,19,207,18,23,12,21,18,15,17,6.0,6.0,10.0,4.0,7.0,8.0,12.0,0,0,1,1,22,36.0,18.0,0.0,0.0,0.0,2,15.0,6,0,3,2,0,40.0,40.0,,12.0,,,80.0,6.0,,8.0,7.0,,8.0,,,,,,,,,,
Adult Red Dragon,5,Dragon,Red Dragon,-1,-1,19,256,19,27,10,25,16,13,21,8.0,6.0,13.0,3.0,7.0,11.0,13.0,0,0,1,0,23,36.0,18.0,0.0,0.0,0.0,2,17.0,6,0,3,1,0,40.0,,,13.0,,,80.0,6.0,,,,40.0,,,,,,,,,,,
