name,hit_points,armor_class,wisdom_save,constitution_save,damage_resistances_count,damage_immunities_count,offensive_threat,max_damage_per_hit,intelligence_save,legendary_actions_count,charisma_save,hit_dice_count,dexterity_save,condition_immunities_count,passive_perception,special_abilities_count,charisma,skills.arcana,skills.stealth,constitution,cr
Aboleth,135,17,6.0,6.0,0,0,60,15,8.0,3,4.0,18,-1.0,0,20,3,18,4.0,-1.0,15,10.0
Acolyte,9,10,2.0,0.0,0,0,2,2,0.0,0,0.0,2,0.0,0,12,1,11,0.0,0.0,10,0.25
Adult Black Dragon,195,19,6.0,10.0,0,1,102,17,2.0,3,8.0,17,7.0,0,21,2,17,2.0,7.0,21,14.0
Adult Blue Dragon,225,19,7.0,11.0,0,1,108,18,3.0,3,9.0,18,5.0,0,22,1,19,3.0,5.0,23,16.0
Adult Brass Dragon,172,18,6.0,10.0,0,1,102,17,2.0,3,8.0,15,5.0,0,21,1,17,2.0,5.0,21,13.0
Adult Bronze Dragon,212,19,7.0,11.0,0,1,126,18,3.0,3,9.0,17,5.0,0,22,2,19,3.0,5.0,23,15.0
Adult Copper Dragon,184,18,7.0,10.0,0,1,102,17,4.0,3,8.0,16,6.0,0,22,1,17,4.0,6.0,21,14.0
Adult Gold Dragon,256,19,8.0,13.0,0,1,133,19,3.0,3,13.0,19,8.0,0,24,2,24,3.0,8.0,25,17.0
Adult Green Dragon,207,19,7.0,10.0,0,1,102,17,4.0,3,8.0,18,6.0,1,22,2,17,4.0,6.0,21,15.0
Adult Red Dragon,256,19,7.0,13.0,0,1,114,19,3.0,3,11.0,19,6.0,0,23,1,21,3.0,6.0,25,17.0
Adult Silver Dragon,243,19,6.0,12.0,0,1,133,19,3.0,3,10.0,18,5.0,0,21,1,21,8.0,5.0,25,16.0
Adult White Dragon,200,18,6.0,11.0,0,1,102,17,-1.0,3,6.0,16,5.0,0,21,2,12,-1.0,5.0,22,13.0
Air Elemental,90,15,0.0,2.0,5,1,42,14,-2.0,0,-2.0,12,5.0,8,10,1,6,-2.0,5.0,14,5.0
Ancient Black Dragon,367,22,9.0,14.0,0,1,114,19,3.0,3,11.0,21,9.0,0,26,2,19,3.0,9.0,25,21.0
Ancient Blue Dragon,481,22,10.0,15.0,0,1,120,20,4.0,3,12.0,26,7.0,0,27,1,21,4.0,7.0,27,23.0
Ancient Brass Dragon,297,20,8.0,13.0,0,1,133,19,3.0,3,10.0,17,6.0,0,24,1,19,3.0,6.0,25,20.0
Ancient Bronze Dragon,444,22,10.0,15.0,0,1,140,20,4.0,3,12.0,24,7.0,0,27,2,21,4.0,7.0,27,22.0
Ancient Copper Dragon,350,21,10.0,14.0,0,1,133,19,5.0,3,11.0,20,8.0,0,27,1,19,5.0,8.0,25,21.0
Ancient Gold Dragon,546,22,10.0,16.0,0,1,147,21,4.0,3,16.0,28,9.0,0,27,2,28,4.0,9.0,29,24.0
Ancient Green Dragon,385,21,10.0,14.0,0,1,132,22,5.0,3,11.0,22,8.0,1,27,2,19,5.0,8.0,25,22.0
Ancient Red Dragon,546,22,9.0,16.0,0,1,126,21,4.0,3,13.0,28,7.0,0,26,1,23,4.0,7.0,29,24.0
Ancient Silver Dragon,487,22,9.0,16.0,0,1,147,21,4.0,3,13.0,25,7.0,0,26,1,23,11.0,7.0,29,23.0
Ancient White Dragon,333,20,7.0,14.0,0,1,114,19,0.0,3,8.0,18,6.0,0,23,2,14,0.0,6.0,26,20.0
Androsphinx,199,17,10.0,11.0,0,4,51,17,9.0,3,6.0,19,6.0,2,20,3,23,9.0,0.0,20,17.0
Animated Armor,33,18,-4.0,1.0,0,2,10,5,-5.0,0,-5.0,6,0.0,8,6,2,1,-5.0,0.0,13,1.0
Ankheg,39,14,1.0,1.0,0,0,20,10,-5.0,0,-2.0,6,0.0,0,11,0,6,-5.0,0.0,13,2.0
Ape,19,12,1.0,2.0,0,0,18,6,-2.0,0,-2.0,3,2.0,0,13,0,7,-2.0,2.0,14,0.5
Archmage,99,12,6.0,1.0,4,0,4,4,9.0,0,3.0,18,2.0,0,12,2,16,13.0,2.0,12,12.0
Assassin,78,15,0.0,2.0,1,0,21,7,4.0,0,0.0,12,6.0,0,13,3,10,1.0,9.0,14,8.0
Awakened Shrub,10,9,0.0,0.0,1,0,1,1,0.0,0,-2.0,3,-1.0,0,10,1,6,0.0,-1.0,11,0.0
Awakened Tree,59,13,0.0,2.0,2,0,14,14,0.0,0,-2.0,7,-2.0,0,10,1,7,0.0,-2.0,15,2.0
Axe Beak,19,11,0.0,1.0,0,0,6,6,-4.0,0,-3.0,3,1.0,0,10,0,5,-4.0,1.0,12,0.25
Azer,39,17,1.0,4.0,0,2,7,7,1.0,0,0.0,6,1.0,1,11,3,10,1.0,1.0,15,2.0
Baboon,3,12,1.0,0.0,0,0,1,1,-3.0,0,-2.0,1,2.0,0,11,1,6,-3.0,2.0,11,0.0
Badger,3,10,1.0,1.0,0,0,1,1,-4.0,0,-3.0,1,0.0,0,11,1,5,-4.0,0.0,12,0.0
Balor,262,19,9.0,12.0,5,2,105,21,5.0,0,12.0,21,2.0,1,13,4,22,5.0,2.0,22,19.0
Bandit,11,12,0.0,1.0,0,0,10,5,0.0,0,0.0,2,1.0,0,10,0,10,0.0,1.0,12,0.125
Bandit Captain,65,15,2.0,2.0,0,0,18,6,2.0,0,2.0,10,5.0,0,10,0,14,2.0,3.0,14,2.0
Barbed Devil,110,15,5.0,7.0,4,2,40,10,1.0,0,5.0,13,3.0,1,18,3,14,1.0,3.0,18,5.0
Basilisk,52,12,-1.0,2.0,0,0,10,10,-4.0,0,-2.0,8,-1.0,0,9,1,7,-4.0,-1.0,15,3.0
Bat,1,12,1.0,-1.0,0,0,1,1,-4.0,0,-3.0,1,2.0,0,11,2,4,-4.0,2.0,8,0.0
Bearded Devil,52,13,2.0,4.0,4,2,24,8,-1.0,0,0.0,8,2.0,1,10,3,11,-1.0,2.0,15,3.0
Behir,168,17,2.0,4.0,0,1,110,22,-2.0,0,1.0,16,3.0,0,16,0,12,-2.0,7.0,18,11.0
Berserker,67,13,0.0,3.0,0,0,9,9,-1.0,0,-1.0,9,1.0,0,10,1,9,-1.0,1.0,17,2.0
Black Bear,19,11,1.0,2.0,0,0,21,7,-4.0,0,-2.0,3,0.0,0,13,1,7,-4.0,0.0,14,0.5
Black Dragon Wyrmling,33,17,2.0,3.0,0,1,14,7,0.0,0,3.0,6,4.0,0,14,1,13,0.0,4.0,13,2.0
Black Pudding,85,7,-2.0,3.0,0,4,6,6,-5.0,0,-5.0,10,-3.0,6,8,3,1,-5.0,-3.0,16,4.0
Blink Dog,22,13,1.0,1.0,0,0,8,4,0.0,0,0.0,4,3.0,0,10,1,11,0.0,5.0,12,0.25
Blood Hawk,7,12,2.0,0.0,0,0,4,4,-4.0,0,-3.0,2,2.0,0,14,2,5,-4.0,2.0,10,0.125
Blue Dragon Wyrmling,52,17,2.0,4.0,0,1,16,8,1.0,0,4.0,8,2.0,0,14,0,15,1.0,2.0,15,3.0
Boar,11,11,-1.0,1.0,0,0,4,4,-4.0,0,-3.0,2,0.0,0,9,2,5,-4.0,0.0,12,0.25
Bone Devil,142,19,6.0,4.0,4,2,39,13,5.0,0,7.0,15,3.0,1,9,2,16,1.0,3.0,18,9.0
Brass Dragon Wyrmling,16,16,2.0,3.0,0,1,14,7,0.0,0,3.0,3,2.0,0,14,0,13,0.0,2.0,13,1.0
