name,size_numeric,type,sub_race,ethics,morale,armor_class,hit_points,hit_dice_count,strength,dexterity,constitution,intelligence,wisdom,charisma,strength_save,dexterity_save,constitution_save,intelligence_save,wisdom_save,charisma_save,perception,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,passive_perception,sense_darkvision_m,sense_blindsight_m,sense_tremorsense_m,sense_truesight_m,lang_telepathy_m,languages_count,cr,actions_count,reactions_count,legendary_actions_count,special_abilities_count,spell_list_count,speed.walk,speed.swim,skills.history,skills.perception,skills.medicine,skills.religion,speed.fly,skills.stealth,speed.burrow,skills.persuasion,skills.insight,speed.climb,skills.deception,skills.arcana,speed.hover,skills.athletics,skills.acrobatics,skills.survival,skills.investigation,skills.nature,skills.intimidation,skills.performance
Aboleth,4,Aberration,Aberration,1,-1,17,135,18,21,9,15,18,15,18,5.0,-1.0,6.0,8.0,6.0,4.0,10.0,0,0,0,0,20,36.0,0.0,0.0,0.0,36.0,2,10.0,4,0,3,3,0,10.0,40.0,12,10,2,4,0.0,-1,0.0,4,2,0.0,4,4,0,5,-1,2,4,4,4,4
Acolyte,3,Humanoid,Humanoid,0,0,10,9,2,10,10,10,10,14,11,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,1,0.25,1,0,0,1,6,30.0,0.0,0,2,4,2,0.0,0,0.0,0,2,0.0,0,0,0,0,0,2,0,0,0,0
Adult Black Dragon,5,Dragon,Black Dragon,-1,-1,19,195,17,23,14,21,14,13,17,6.0,7.0,10.0,2.0,6.0,8.0,11.0,0,0,1,0,21,36.0,18.0,0.0,0.0,0.0,2,14.0,6,0,3,2,0,40.0,40.0,2,11,1,2,80.0,7,0.0,3,1,0.0,3,2,0,6,2,1,2,2,3,3
Adult Blue Dragon,5,Dragon,Blue Dragon,1,-1,19,225,18,25,10,23,16,15,19,7.0,5.0,11.0,3.0,7.0,9.0,12.0,0,0,1,0,22,36.0,18.0,0.0,0.0,0.0,2,16.0,6,0,3,1,0,40.0,0.0,3,12,2,3,80.0,5,30.0,4,2,0.0,4,3,0,7,0,2,3,3,4,4
Adult Brass Dragon,5,Dragon,Brass Dragon,-1,1,18,172,15,23,10,21,14,13,17,6.0,5.0,10.0,2.0,6.0,8.0,11.0,0,0,1,0,21,36.0,18.0,0.0,0.0,0.0,2,13.0,6,0,3,1,0,40.0,0.0,7,11,1,2,80.0,5,40.0,8,1,0.0,3,2,0,6,0,1,2,2,3,3
Adult Bronze Dragon,5,Dragon,Bronze Dragon,1,1,19,212,17,25,10,23,16,15,19,7.0,5.0,11.0,3.0,7.0,9.0,12.0,0,0,1,0,22,36.0,18.0,0.0,0.0,0.0,2,15.0,7,0,3,2,0,40.0,40.0,3,12,2,3,80.0,5,0.0,4,7,0.0,4,3,0,7,0,2,3,3,4,4
Adult Copper Dragon,5,Dragon,Copper Dragon,-1,1,18,184,16,23,12,21,18,15,17,6.0,6.0,10.0,4.0,7.0,8.0,12.0,0,0,1,0,22,36.0,18.0,0.0,0.0,0.0,2,14.0,6,0,3,1,0,40.0,0.0,4,12,2,4,80.0,6,0.0,3,2,40.0,8,4,0,6,1,2,4,4,3,3
Adult Gold Dragon,5,Dragon,Gold Dragon,1,1,19,256,19,27,14,25,16,15,24,8.0,8.0,13.0,3.0,8.0,13.0,14.0,0,0,1,0,24,36.0,18.0,0.0,0.0,0.0,2,17.0,7,0,3,2,0,40.0,40.0,3,14,2,3,80.0,8,0.0,13,8,0.0,7,3,0,8,2,2,3,3,7,7
Adult Green Dragon,5,Dragon,Green Dragon,1,-1,19,207,18,23,12,21,18,15,17,6.0,6.0,10.0,4.0,7.0,8.0,12.0,0,0,1,1,22,36.0,18.0,0.0,0.0,0.0,2,15.0,6,0,3,2,0,40.0,40.0,4,12,2,4,80.0,6,0.0,8,7,0.0,8,4,0,6,1,2,4,4,3,3
Adult Red Dragon,5,Dragon,Red Dragon,-1,-1,19,256,19,27,10,25,16,13,21,8.0,6.0,13.0,3.0,7.0,11.0,13.0,0,0,1,0,23,36.0,18.0,0.0,0.0,0.0,2,17.0,6,0,3,1,0,40.0,0.0,3,13,1,3,80.0,6,0.0,5,1,40.0,5,3,0,8,0,1,3,3,5,5
Adult Silver Dragon,5,Dragon,Silver Dragon,1,1,19,243,18,27,10,25,16,13,21,8.0,5.0,12.0,3.0,6.0,10.0,11.0,0,0,1,0,21,36.0,18.0,0.0,0.0,0.0,2,16.0,7,0,3,1,0,40.0,0.0,8,11,1,3,80.0,5,0.0,5,1,0.0,5,8,0,8,0,1,3,3,5,5
Adult White Dragon,5,Dragon,White Dragon,-1,-1,18,200,16,22,10,22,8,12,12,6.0,5.0,11.0,-1.0,6.0,6.0,11.0,0,0,1,0,21,36.0,18.0,0.0,0.0,0.0,2,13.0,6,0,3,2,0,40.0,40.0,-1,11,1,-1,80.0,5,30.0,1,1,0.0,1,-1,0,6,0,1,-1,-1,1,1
Air Elemental,4,Elemental,Elementals,0,0,15,90,12,14,20,14,6,10,6,2.0,5.0,2.0,-2.0,0.0,-2.0,0.0,0,5,1,8,10,18.0,0.0,0.0,0.0,0.0,1,5.0,3,0,0,1,0,0.0,0.0,-2,0,0,-2,90.0,5,0.0,-2,0,0.0,-2,-2,1,2,5,0,-2,-2,-2,-2
Ancient Black Dragon,6,Dragon,Black Dragon,-1,-1,22,367,21,27,14,25,16,15,19,8.0,9.0,14.0,3.0,9.0,11.0,16.0,0,0,1,0,26,36.0,18.0,0.0,0.0,0.0,2,21.0,6,0,3,2,0,40.0,40.0,3,16,2,3,80.0,9,0.0,4,2,0.0,4,3,0,8,2,2,3,3,4,4
Ancient Blue Dragon,6,Dragon,Blue Dragon,1,-1,22,481,26,29,10,27,18,17,21,9.0,7.0,15.0,4.0,10.0,12.0,17.0,0,0,1,0,27,36.0,18.0,0.0,0.0,0.0,2,23.0,6,0,3,1,0,40.0,0.0,4,17,3,4,80.0,7,40.0,5,3,0.0,5,4,0,9,0,3,4,4,5,5
Ancient Brass Dragon,6,Dragon,Brass Dragon,-1,1,20,297,17,27,10,25,16,15,19,8.0,6.0,13.0,3.0,8.0,10.0,14.0,0,0,1,0,24,36.0,18.0,0.0,0.0,0.0,2,20.0,7,0,3,1,0,40.0,0.0,9,14,2,3,80.0,6,40.0,10,2,0.0,4,3,0,8,0,2,3,3,4,4
